"",3ИС1,3ОС1,3ПИ1,3С1,,,,,,,,
"",1,ИСРПО,40,1,ИМЭСАРУиО,310,1,,,1,,
"",2,ПиРП,44,2,ОВОЭБМиНМЭС,307,2,РВиА РПО,41,2,УиРЭЭ,201
"",3,РПМ,44,3,,,3,ТВиМС,25,3,НЭЭССиС,201
"",4,ИЯПД,30,4,,,4,РВиА СиВД,45,4,АСУЭС,301
"",5,,,5,,,5,РВиА СиВД,45,5,,
"",1,,,1,,,1,,,1,АСУЭС,с/р
"",2,Экономика,36,2,ОТМССА,310,2,,,2,РЗЭЭССиС,с/р
"",3,Экономика,36,3,Физ.Культур,с/з,3,РВиА РАИС,45,3,ИЯПД,с/р
"",4,,,4,,,4,РВиА РПМ,41,4,,
"",5,,,5,,,5,,,5,,
"",1,ОКФКС,40,1,ИМЭСАРУиО,310,1,,,1,УиРЭЭ,201
"",2,РПМ,40,2,СТП,306,2,ОПД ОСПО,25,2,УиРЭЭ,201
"",3,ОснФилософ,28,3,ОВОЭБМиНМЭС,307,3,РВиА РПМ,41,3,,
"",4,,,4,,,4,,,4,,
"",5,,,5,,,5,,,5,,
"",1,ПиРП,40,1,ИЯПД,24,1,,,1,ИТПД,306
"",2,ТРПО,40,2,ИМЭСАРУиО,310,2,Ин.Язык,30,2,ИЯПД,24
"",3,Физ.Культур,с/з,3,,,3,ОПД ОСПО,41,3,НЭЭССиС,201
"",4,РМП,40,4,,,4,Физ.Культур,с/з,4,,
"",5,,,5,,,5,,,5,,
"",1,ТРиЗД,40,1,,,1,,,1,Физ.Культур,с/з
"",2,Кл.час,28,2,Кл.час,310,2,,,2,Кл.час,24
"",,,,3,ОТМССА,310,3,РВиА РАИС,41,3,Физ.Культур,с/з
"",4,,,4,ИМЭСАРУиО,310,4,ОПД ОСПО,41,4,АСУЭС,301
"",5,,,5,,,5,,,5,,
"",1,ОКФКС,с/р,1,ИМЭСАРУиО,с/р,1,ОПД ОБУ,20,1,УиРЭЭ,с/р
"",2,ТРПО,с/р,2,ОТМССА,с/р,2,ОПД ОБУ,20,2,ИТПД,с/р
"",3,РПМ,с/р,3,СТП,с/р,3,,,3,НЭЭССиС,с/р
"",4,,,4,,,4,,,4,,
5,,,5,,,5,,,5,,,
